Date,total_earthquakes,avg_magnitude,max_magnitude
2022-01,1,3.8,3.8
2022-02,2,2.1,2.2
2022-03,1,4.4,4.4
2022-04,1,4.3,4.3
2022-05,2,4.25,4.5
2022-06,2,3.3,4.2
2022-07,3,4.1,6
2022-08,2,3.65,5.1
2022-09,2,3.25,4.3
2022-10,2,2.3,2.9
2022-11,3,3.466666667,4.1
2022-12,3,3.333333333,3.9
2023-01,1,3.2,3.2
2023-02,2,3.05,3.5
2023-03,2,2.85,4.1
2023-04,2,3.5,4.2
2023-05,1,3.5,3.5
2023-06,2,3.8,4.8
2023-07,1,3.9,3.9
2023-08,1,4.3,4.3
2024-01,2,3.35,4.3
2024-02,2,3.65,3.8
2024-03,1,4,4
2024-04,2,3.6,3.7
2024-05,1,4.3,4.3
2024-06,1,4.3,4.3
2024-07,2,3.25,4.1
2024-08,2,2.9,4.1
2024-09,2,3.45,5.3
2024-10,2,4.4,4.9
2024-11,2,3,4.3
2024-12,2,4.1,4.2
Grand Total,57,3.512280702,6
